watermarker,attack,sample_idx,z_score,p_value,is_detected,perplexity,prompt_len,text_len
unigram,clean,0,5.65685424949238,7.70862895014001e-09,1,9.2109375,30,158
unigram,clean,1,7.495331880577403,3.3065409251704e-14,1,4.796875,30,107
unigram,clean,2,10.323759005323593,2.7512868753459563e-25,1,17.71875,30,168
unigram,clean,3,9.475230867899736,1.3308572881882963e-21,1,13.3515625,30,166
unigram,clean,4,8.202438661763951,1.1777946875782176e-16,1,6.72265625,30,103
unigram,clean,5,9.475230867899736,1.3308572881882963e-21,1,6.9296875,30,145
unigram,clean,6,8.626702730475879,3.157301075096865e-18,1,15.1875,30,160
unigram,clean,7,5.939696961966999,1.427747089796094e-09,1,6.24609375,30,156
unigram,clean,8,8.909545442950499,2.562110843697821e-19,1,14.5234375,30,159
unigram,clean,9,8.202438661763951,1.1777946875782176e-16,1,13.015625,30,135
unigram,clean,10,9.758073580374356,8.518020964828397e-23,1,16.484375,30,167
unigram,clean,11,8.909545442950499,2.562110843697821e-19,1,12.9921875,30,145
unigram,clean,12,7.071067811865475,7.687298972140174e-13,1,10.875,30,147
unigram,clean,13,9.899494936611665,2.0919128038896777e-23,1,12.890625,30,157
unigram,clean,14,9.475230867899736,1.3308572881882963e-21,1,18.4375,30,156
unigram,clean,15,9.569896267612535,5.350649436017691e-22,1,10.921875,30,152
unigram,clean,16,8.626702730475879,3.157301075096865e-18,1,12.1796875,30,166
unigram,clean,17,8.202438661763951,1.1777946875782176e-16,1,17.078125,30,154
unigram,clean,18,8.909545442950499,2.562110843697821e-19,1,8.5078125,30,93
unigram,clean,19,3.983456354511982,3.396007508434793e-05,0,13.5625,30,43
unigram,clean,20,9.711672508614202,1.3444409917923122e-22,1,10.6640625,30,176
unigram,clean,21,7.353910524340094,9.624530549986154e-14,1,11.2890625,30,147
unigram,clean,22,6.4508189655758565,5.5623663415154833e-11,1,-1.0,30,5
unigram,clean,23,5.5154328932550705,1.739612429861589e-08,1,11.46875,30,150
unigram,clean,24,9.899494936611665,2.0919128038896777e-23,1,17.765625,30,168
unigram,clean,25,7.071067811865475,7.687298972140174e-13,1,9.453125,30,145
unigram,clean,26,9.616652224137045,3.4004302826656326e-22,1,9.828125,30,153
unigram,clean,27,3.6380343755449944,0.00013736338190397114,0,17.65625,30,43
unigram,clean,28,11.879393923933998,7.573076763986536e-33,1,7.26171875,30,152
unigram,clean,29,8.202438661763951,1.1777946875782176e-16,1,13.171875,30,173
unigram,clean,30,4.324175350550849,7.655174236939703e-06,1,7.8359375,30,130
unigram,clean,31,7.919595949289332,1.1914181422915142e-15,1,11.3125,30,164
unigram,clean,32,7.159700170584192,4.0426852094485757e-13,1,15.28125,30,150
unigram,clean,33,8.909545442950499,2.562110843697821e-19,1,10.1171875,30,153
unigram,clean,34,6.081118318204308,5.967358968610217e-10,1,12.640625,30,143
unigram,clean,35,7.6498910667625415,1.0057481977811033e-14,1,11.0078125,30,139
unigram,clean,36,8.909545442950499,2.562110843697821e-19,1,13.2734375,30,166
unigram,clean,37,9.616652224137045,3.4004302826656326e-22,1,14.75,30,165
unigram,clean,38,8.435686339599197,1.646323795610679e-17,1,7.25390625,30,155
unigram,clean,39,10.182337649086284,1.1888972831631503e-24,1,10.7109375,30,163
unigram,clean,40,7.212489168102785,2.746910108777636e-13,1,12.9140625,30,144
unigram,clean,41,10.323759005323593,2.7512868753459563e-25,1,10.0234375,30,157
unigram,clean,42,7.7781745930520225,3.678923958987199e-15,1,8.9140625,30,150
unigram,clean,43,8.76812408671319,9.083378086190543e-19,1,12.2578125,30,146
unigram,clean,44,8.909545442950499,2.562110843697821e-19,1,15.4609375,30,155
unigram,clean,45,5.65685424949238,7.70862895014001e-09,1,4.81640625,30,123
unigram,clean,46,8.061017305526642,3.783105810931244e-16,1,10.75,30,148
unigram,clean,47,10.748023074035522,3.0272675902446236e-27,1,9.5234375,30,166
unigram,clean,48,8.48528137423857,1.0759868356249456e-17,1,17.796875,30,155
unigram,clean,49,9.333809511662427,5.106625839287897e-21,1,16.078125,30,136
unigram,clean,50,7.7781745930520225,3.678923958987199e-15,1,9.015625,30,143
unigram,clean,51,8.76812408671319,9.083378086190543e-19,1,21.125,30,138
unigram,clean,52,7.212489168102785,2.746910108777636e-13,1,12.9921875,30,155
unigram,clean,53,10.182337649086284,1.1888972831631503e-24,1,11.96875,30,158
unigram,clean,54,7.071067811865475,7.687298972140174e-13,1,9.0,30,163
unigram,clean,55,8.626702730475879,3.157301075096865e-18,1,13.640625,30,143
unigram,clean,56,8.626702730475879,3.157301075096865e-18,1,14.5546875,30,162
unigram,clean,57,8.909545442950499,2.562110843697821e-19,1,17.140625,30,153
unigram,clean,58,11.59655121145938,2.145106011381415e-31,1,11.046875,30,159
unigram,clean,59,10.040916292848975,5.0367012604291404e-24,1,11.6015625,30,141
unigram,clean,60,5.738397297139943,4.778834716611863e-09,1,12.5703125,30,78
unigram,clean,61,9.333809511662427,5.106625839287897e-21,1,9.2890625,30,132
unigram,clean,62,9.475230867899736,1.3308572881882963e-21,1,10.7734375,30,152
unigram,clean,63,9.569896267612535,5.350649436017691e-22,1,14.8125,30,154
unigram,clean,64,9.758073580374356,8.518020964828397e-23,1,7.71484375,30,158
unigram,clean,65,7.636753236814713,1.1138393397338932e-14,1,9.4140625,30,153
unigram,clean,66,8.34386001800126,3.5952048917752465e-17,1,9.8046875,30,155
unigram,clean,67,6.505382386916237,3.874799798720929e-11,1,6.71484375,30,144
unigram,clean,68,8.620573398230869,3.3309832526579616e-18,1,6.2421875,30,69
unigram,clean,69,7.071067811865475,7.687298972140174e-13,1,15.578125,30,119
unigram,clean,70,7.7781745930520225,3.678923958987199e-15,1,15.3125,30,152
unigram,clean,71,2.055755494524174,0.019903044927659083,0,11.96875,30,99
unigram,clean,72,9.475230867899736,1.3308572881882963e-21,1,8.6875,30,161
unigram,clean,73,9.050966799187808,7.085401738342e-20,1,10.6484375,30,141
unigram,clean,74,7.919595949289332,1.1914181422915142e-15,1,12.7421875,30,146
unigram,clean,75,7.071067811865475,7.687298972140174e-13,1,11.6015625,30,142
unigram,clean,76,10.606601717798213,1.3883246930152643e-26,1,10.484375,30,169
unigram,clean,77,7.212489168102785,2.746910108777636e-13,1,14.8671875,30,147
unigram,clean,78,8.34386001800126,3.5952048917752465e-17,1,10.6484375,30,165
unigram,clean,79,8.202438661763951,1.1777946875782176e-16,1,18.71875,30,147
unigram,clean,80,5.939696961966999,1.427747089796094e-09,1,10.0,30,165
unigram,clean,81,8.76812408671319,9.083378086190543e-19,1,11.7421875,30,161
unigram,clean,82,7.495331880577403,3.3065409251704e-14,1,7.89453125,30,141
unigram,clean,83,10.748023074035522,3.0272675902446236e-27,1,19.28125,30,172
unigram,clean,84,9.050966799187808,7.085401738342e-20,1,24.46875,30,149
unigram,clean,85,7.353910524340094,9.624530549986154e-14,1,7.66796875,30,142
unigram,clean,86,8.76812408671319,9.083378086190543e-19,1,9.3203125,30,137
unigram,clean,87,8.76812408671319,9.083378086190543e-19,1,7.1953125,30,142
unigram,clean,88,7.353910524340094,9.624530549986154e-14,1,11.046875,30,155
unigram,clean,89,2.861994276017172,0.0021049225492891406,0,23.90625,30,60
unigram,clean,90,8.34386001800126,3.5952048917752465e-17,1,11.578125,30,167
unigram,clean,91,9.616652224137045,3.4004302826656326e-22,1,16.453125,30,155
unigram,clean,92,3.4299717028501764,0.00030182209906671646,0,-1.0,30,28
unigram,clean,93,9.192388155425117,1.9210741635603234e-20,1,16.78125,30,147
unigram,clean,94,4.666904755831213,1.5288548982190825e-06,1,7.73046875,30,147
unigram,clean,95,9.192388155425117,1.9210741635603234e-20,1,10.1796875,30,159
unigram,clean,96,10.465180361560902,6.241928231766698e-26,1,12.328125,30,143
unigram,clean,97,8.76812408671319,9.083378086190543e-19,1,12.2578125,30,141
unigram,clean,98,8.909545442950499,2.562110843697821e-19,1,12.015625,30,135
unigram,clean,99,6.465987068038796,5.031984257811863e-11,1,18.90625,24,75
unigram,clean,100,9.899494936611665,2.0919128038896777e-23,1,16.453125,30,153
unigram,clean,101,8.76812408671319,9.083378086190543e-19,1,11.03125,30,162
unigram,clean,102,7.636753236814713,1.1138393397338932e-14,1,8.859375,30,130
unigram,clean,103,10.889444430272832,6.47137003385855e-28,1,17.21875,30,166
unigram,clean,104,8.76812408671319,9.083378086190543e-19,1,13.6171875,30,141
unigram,clean,105,4.201805851511121,1.3239709287215106e-05,1,86.9375,18,43
unigram,clean,106,6.363961030678928,9.830802207714439e-11,1,13.9921875,30,145
unigram,clean,107,8.48528137423857,1.0759868356249456e-17,1,11.2890625,30,156
unigram,clean,108,7.919595949289332,1.1914181422915142e-15,1,7.3515625,30,149
unigram,clean,109,8.34386001800126,3.5952048917752465e-17,1,14.328125,30,155
unigram,clean,110,4.125684985035173,1.8481646716915244e-05,1,42.4375,30,66
unigram,clean,111,9.899494936611665,2.0919128038896777e-23,1,9.0703125,30,157
unigram,clean,112,6.446583712203042,5.719972065809823e-11,1,12.9921875,30,118
unigram,clean,113,8.76812408671319,9.083378086190543e-19,1,15.734375,30,156
unigram,clean,114,7.212489168102785,2.746910108777636e-13,1,6.7734375,30,158
