watermarker,attack,sample_idx,z_score,p_value,is_detected,perplexity,prompt_len,text_len
gpw,clean,0,13.704571212715281,4.766439828090823e-43,1,17.421875,30,180
gpw,clean,1,13.584913073279434,2.460579392106865e-42,1,5.24609375,30,179
gpw,clean,2,14.562431130833536,2.4347388424005025e-48,1,10.75,30,167
gpw,clean,3,14.840993901141063,3.978413591531595e-50,1,4.12109375,30,185
gpw,clean,4,9.283443709644875,8.204376751755351e-21,1,4.3203125,30,115
gpw,clean,5,13.532147941949113,5.0513974064947536e-42,1,10.0234375,30,135
gpw,clean,6,12.931613553470916,1.492440105337247e-38,1,7.89453125,30,194
gpw,clean,7,11.566806405522582,3.0350111173541397e-31,1,7.8046875,30,188
gpw,clean,8,13.716013681591386,4.0710222181857746e-43,1,15.1875,30,196
gpw,clean,9,12.245290614158487,8.901910037449946e-35,1,20.328125,30,171
gpw,clean,10,16.342264039356277,2.4692279221992188e-60,1,1.216796875,30,230
gpw,clean,11,13.085178126116995,2.001104321949332e-39,1,13.40625,30,194
gpw,clean,12,12.674066074320983,4.1166727114213714e-37,1,9.2109375,30,210
gpw,clean,13,13.448400483874776,1.5730203867117243e-41,1,13.4296875,30,187
gpw,clean,14,15.286758851804143,4.6849341359050615e-53,1,4.3203125,30,186
gpw,clean,15,12.178118777886336,2.0327562087150655e-34,1,8.1640625,30,194
gpw,clean,16,11.680524744490194,8.015142436498035e-32,1,16.8125,30,192
gpw,clean,17,12.931694277859098,1.4908737617043692e-38,1,7.65234375,30,171
gpw,clean,18,10.722690280813648,3.982610356068697e-27,1,2.25390625,30,150
gpw,clean,19,6.116946821217614,4.769258963223148e-10,1,7.41796875,30,127
gpw,clean,20,12.382411266535485,1.6270836788718352e-35,1,8.9453125,30,192
gpw,clean,21,13.591405641727734,2.2517372352041687e-42,1,10.0625,30,184
gpw,clean,22,10.49742460912935,4.4384476562709446e-26,1,3.193359375,30,127
gpw,clean,23,13.096641477174105,1.7207629281762563e-39,1,13.9375,30,188
gpw,clean,24,13.630064209875625,1.3267337113085424e-42,1,15.828125,30,177
gpw,clean,25,18.06053469409499,3.2594053407770404e-73,1,1.232421875,30,32
gpw,clean,26,13.217954287200339,3.455915451762776e-40,1,2.65234375,30,166
gpw,clean,27,9.885774527200166,2.399282656221802e-23,1,7.03125,30,175
gpw,clean,28,13.656208941404671,9.269345240596779e-43,1,11.2265625,30,172
gpw,clean,29,15.714574698135616,6.00924945056536e-56,1,8.0078125,30,83
gpw,clean,30,11.76672001905979,2.896672584813571e-32,1,11.4921875,30,175
gpw,clean,31,15.266106643021667,6.431350134921576e-53,1,6.67578125,30,213
